"lure","nObs","mn","sem"
"BlankCtrl",8,0.03125,0.03125
"CidetrakNOW_1in",8,0.75,0.340692571934623
"CidetrakNOW_4in",8,0.90625,0.19444001553913
"CidetrakNOW_8in",8,0.71875,0.173188970904204
"AldTCP_1in",8,23.40625,6.55929981495739
"AldTCP_4in",8,22.125,3.87183050101259
"AldTCP_12in",8,31.875,5.3393752978629
"NowBiolure",8,70.8541666666667,7.9240997373093
